schcd,school_name,distname,blkname,cluname,schmgt_desc,schmgtdet_desc,schcat_desc,school_medium,lowest_class,highest_class,school_close,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12
27250100101,ZPPS AVSARI BU                                                                                                                                                                                                                                            ,Pune,Ambegaon,Mengadewadi,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,72,76,85,92,0,0,0,0,0,0,0,0
27250100102,VIDYA VIKAS HIGH SCH AVSARI BU                                                                                                                                                                                                                            ,Pune,Ambegaon,Mengadewadi,Private (Education Dept.),Private Aided,Pr. with Up.Pr. sec. and H.Sec.,"English, Hindi, Marathi, Urdu",5,12,N,0,0,0,0,145,137,212,228,222,213,97,99
27250100201,ZPPS GAVDEWADI                                                                                                                                                                                                                                            ,Pune,Ambegaon,Mengadewadi,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,28,21,31,35,37,45,37,0,0,0,0,0
27250100202,"HirKani Vidyalaya, Gawadewadi                                                                                                                                                                                                                             ",Pune,Ambegaon,Mengadewadi,Private (Education Dept.),Private Aided,Upper Pr. and Secondary,Marathi,8,10,N,0,0,0,0,0,0,0,48,41,51,0,0
27250100301,ZPPS TAVHAREWADI                                                                                                                                                                                                                                          ,Pune,Ambegaon,Mengadewadi,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,5,13,10,9,0,0,0,0,0,0,0,0
27250100401,ZPPS MEGADEWADI                                                                                                                                                                                                                                           ,Pune,Ambegaon,Mengadewadi,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,2,4,3,6,2,3,2,0,0,0,0,0
27250100402,ZPPS GAVARMALA                                                                                                                                                                                                                                            ,Pune,Ambegaon,Mengadewadi,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,3,8,1,4,0,0,0,0,0,0,0,0
27250100501,ZPPS NIRGUDSAR                                                                                                                                                                                                                                            ,Pune,Ambegaon,Mengadewadi,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,30,44,42,41,0,0,0,0,0,0,0,0
27250100502,ZPPS VALSEMALA                                                                                                                                                                                                                                            ,Pune,Ambegaon,Mengadewadi,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,5,13,9,9,0,0,0,0,0,0,0,0
27250100503,ZPPS BELSARWADI                                                                                                                                                                                                                                           ,Pune,Ambegaon,Mengadewadi,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,7,4,6,5,0,0,0,0,0,0,0,0
